Отметка времени,İşlədiyiniz müəssisənin növü,Elmi tədqiqatın ixtisas sahəsi  ,Vəzifəniz (ştat və ya yarımştat),Neçə ildir elmi rəhbər kimi çalışırsınız?,Hazırda rəhbərlik etdiyiniz doktorantların sayı  ,Çalışdığınız müəssisənin yerləşdiyi region,Elmi rəhbərlik forması, Tələbələrinizlə rəsmi elmi rəhbərlik görüşlərinin tezliyi ,Doktorantura proqramının başlanğıcında gözləntilər sizə aydın olurmu?,Akademik avtoritet kimi çıxış etmək,Tədqiqat metodlarını öyrətmək,Elmi etikaya yüksək səviyyədə riayət olunmasını təmin etmək ,İmtahanlara hazırlanma prosesində iştirak ,Nəşrlərlə bağlı məsləhət və dəstək vermək  ,Doktorantı şəxsi elmi tədqiqat layihələrinə cəlb etmək ,Elmi rəhbər kimi öhdəliklərimi səmərəli şəkildə yerinə yetirmək üçün kifayət qədər vaxtım var,Müəssisə doktorantlara elmi rəhbərlik üçün kifayət qədər inzibati dəstək göstərir ,Çalışdığım müəssisədə elmi rəhbərlər üçün təlim imkanları əlçatandır ,Dissertasiya şurasının prosedurları elmi keyfiyyəti və işin vaxtında tamamlanmasını təmin edir ,Mövcud maliyyələşdirmə mexanizmləri doktoranturanın uğurla tamamlanması üçün kifayətdir,Doktorantlar ümumilikdə dissertasiyanın təqdimatı və müdafiəsi üçün hazırlıqlı olurlar,Doktorantların təhsilini uğurla başa vurmaq üçün tələb olunan kurslarda iştirak etmək imkanları kifayət qədərdirmi?  ,Doktorantlarımın əksəriyyəti təhsillərini gözlənilən müddət ərzində uğurla tamamlaya bilirlər,Doktoranturanın tamamlanmasında yaranan gecikmələrin əksəriyyəti doktorantın özündən asılı olmayan amillərlə bağlıdır ,"Təcrübənizə əsasən, müəssisənizdə doktorantların doktorantura layihəsini tamamlaması üçün tələb olunan orta müddət nə qədərdir? ",Doktorantura proqramlarının icrası doktorantların akademik olmayan mühitdə karyerasının formalaşmasına da xidmət edir,Doktorantlarımla akademiyadan kənarda karyera imkanlarını müzakirə edirəm ,Rəhbərlik etdiyim doktorantlar ümumilikdə akademiyadan kənar məşğulluq üçün yaxşı hazırlaşmış olurlar ,Doktorantlar təhsilləri müddətində tez-tez yüksək stress yaşayırlar ,İnstitusional dəstək elmi rəhbərlərə doktorantların rifahı ilə bağlı məsələləri effektiv şəkildə həll etməyə imkan verir,Elmi rəhbərlər münaqişələrin həlli prosedurları barədə kifayət qədər məlumatlandırılmışdırlar  ,Tədqiqat etikası qaydalarını doktorantlara izah etmək və onları istiqamətləndirmək baxımından özünüzü nə dərəcədə hazır hesab edirsiniz?  ,Doktorantlara tədqiqat metodları üzrə təlim verməyə cavabdeh şəxs sizsinizmi?  ,"Doktorantlara elmi rəhbərlik üçün süni intellekt alətlərindən istifadə edirəm (məsələn, rəy vermə, ədəbiyyat axtarışı, üslubun yoxlanılması) ",Doktorantlarla süni intellekt alətlərindən düzgün istifadə məsələlərini müzakirə edirəm ,Müəssisədə doktorantura tədqiqatı və elmi rəhbərlikdə süni intellekt istifadəsi ilə bağlı aşkar qaydalar mövcuddur ,"Zəhmət olmasa, islahat üçün ən vacib hesab etdiyiniz üç istiqaməti seçin:  ",Doktoranturada elmi rəhbərliyin keyfiyyətini artırmaq üçün hansı dəyişiklik ən böyük təsir göstərə bilər?  ,Doktorantura təhsilinin təkmilləşdirilməsi ilə bağlı əlavə şərh və ya təkliflərinizi qeyd edin   
16.03.2026 10:08:55,Hər ikisi,Semiconductor Physics,Hal-hazırda baş elmi vəzifəsində çalışıram,,,Bakı,Individual,Həftədə bir dəfə,Qismən aydındır,Vacib deyil,Çox vacibdir,Vacibdir,Vacibdir,Vacibdir,Qismən əhəmiyyətlidir,Cavab verməkdə çətinlik çəkirəm,Heç razı deyiləm,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Raziyam,Qismən razıyam,Ümumilikdə kifayət deyil,Qismən razıyam,Qismən razıyam,3-4 il,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Qismən razıyam,Heç razı deyiləm,Heç razı deyiləm,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Elmi rəhbərlik üçün institusional dəstək, Tədqiqat etikası və akademik dürüstlük prosedurları",Doktorantın fərdi elmi və texniki bacarığı,"Təıhsilin yüksəldilməsi  üçün müasir tədqiqat mərkəzi, xarici dil bilməsi və elmi ezamiyyətlərin verilməsi (doktorantlar üçün)"
16.03.2026 10:50:15,Elmi-tədqiqat İnstitutu,"Genetics, Bioinformatics, Genomics",Baş elmi işçi ,30,2,Bakı,Individual,Həftədə bir dəfə,Qismən aydındır,Vacibdir,Çox vacibdir,Çox vacibdir,Vacib deyil,Çox vacibdir,Vacibdir,Raziyam,Raziyam,Raziyam,Raziyam,Heç razı deyiləm,Qismən razıyam,Əsasən kifayət deyil,Qismən razıyam,Qismən razıyam,3-4 il,Qismən razıyam,Raziyam,Raziyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Qismən razıyam,Heç razı deyiləm,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin təlimi və peşəkar inkişafı, Doktorantlar üçün maliyyə dəstəyi",Konkret və yetərli maddi-texniki və maliyyə dəstəyi sayəsində doktorantın eyni zamanda başqa yerdə işləməsi zərurətini aradan qaldırmaq;  ciddi attestasiya.,Yuxarıda qeyd etdiklərim yetərlidir.
16.03.2026 16:17:41,Universitet,Engineering,"t.ü.f.d., dosent",2,1,Bakı,Individual,Ayda bir dəfə,Qismən aydındır,Vacibdir,Çox vacibdir,Vacibdir,Vacibdir,Çox vacibdir,Vacibdir,Raziyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Əsasən kifayət deyil,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,4-5 il,Raziyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Heç razı deyiləm,Qismən hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Qismən razıyam,Raziyam,Heç razı deyiləm,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin təlimi və peşəkar inkişafı, Doktorantlar üçün maliyyə dəstəyi",,
16.03.2026 17:31:35,Elmi-tədqiqat İnstitutu,Computer Science,Laboratoriya müdiri ,40,5,Bakı,Individual,Ayda bir dəfə,Qismən aydındır,Qismən əhəmiyyətlidir,Qismən əhəmiyyətlidir,Qismən əhəmiyyətlidir,Vacib deyil,Vacibdir,Vacibdir,Raziyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən kifayətdir,Qismən razıyam,Qismən razıyam,4-5 il,Qismən razıyam,Qismən razıyam,Raziyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Raziyam,Qismən razıyam,Qismən razıyam,"Attestasiya və dissertasiya şurası prosedurları, Qaydaların aydınlığı və sabitliyi, Elmi rəhbərlərin iş yükü və vaxt bölgüsü",,
16.03.2026 20:47:45,Hər ikisi,"Educational Management, Supervision, Planning and Economics",Tam zamanlı (ştat) profesör,25,2,,Individual,Ayda bir dəfə,Çox aydındır,Çox vacibdir,Çox vacibdir,Çox vacibdir,Vacibdir,Vacibdir,Vacibdir,Raziyam,Raziyam,Raziyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən kifayətdir,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,3-4 il,Raziyam,Qismən razıyam,Qismən razıyam,Raziyam,Raziyam,Çox razıyam,Çox hazıram,"Xeyr, bu əsasən formal kurslar və ya digər bölmələr tərəfindən təmin olunur",Qismən razıyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,"Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Elmi rəhbərlik üçün institusional dəstək, Tədqiqat etikası və akademik dürüstlük prosedurları",Elmi rehberlerin bilimsel araştırma konusunda güçlü olmaları zaruridir.,Doktora eğitiminde bilimsel araştırma yöntemleri ve ölçme-değerlendirme konularında güçlü bir eğitim verilmelidir. Mevcut tezler istatistikler ve analizler yönünden zayıf kalmaktadır. Bu eğitimin verilmesi için Azerbaycan üniversiteleri gerekli güce sahiptir. Bunlar harekete geçirilmelidir.
17.03.2026 8:10:13,Universitet,Mechanical Engineering,ştat,15,5,Bakı,Individual,Həftədə bir dəfə,Qismən aydındır,Vacib deyil,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Raziyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Raziyam,Raziyam,Qismən razıyam,Qismən kifayətdir,Heç razı deyiləm,Qismən razıyam,4-5 il,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Raziyam,Qismən razıyam,Raziyam,Qismən hazıram,"Xeyr, bu əsasən formal kurslar və ya digər bölmələr tərəfindən təmin olunur",Raziyam,Raziyam,Qismən razıyam,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Tədqiqat etikası və akademik dürüstlük prosedurları",Əyani formada təhsil alan doktorantların istehsalatda işləməməsi,
17.03.2026 10:53:18,Elmi-tədqiqat İnstitutu,Enhanced Oil Recovery Methods,ştat,36,2,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Vacibdir,Çox vacibdir,Çox vacibdir,Vacibdir,Çox vacibdir,Vacibdir,Raziyam,Raziyam,Raziyam,Raziyam,Raziyam,Raziyam,Qismən kifayətdir,Raziyam,Raziyam,3-4 il,Raziyam,Cavab verməkdə çətinlik çəkirəm,Raziyam,Qismən razıyam,Raziyam,Raziyam,Qismən hazıram,"Bəli, əsasən mən",Heç razı deyiləm,Heç razı deyiləm,Qismən razıyam,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlik üçün institusional dəstək, Doktorantlar üçün maliyyə dəstəyi",,
17.03.2026 10:54:28,Universitet,Thermal Energy Engineering,Dosent,3,3,Bakı,Individual,Ayda bir dəfə,Qismən aydındır,Vacibdir,Vacibdir,Vacibdir,Çox vacibdir,Çox vacibdir,Vacibdir,Qismən razıyam,Çox razıyam,Qismən razıyam,Raziyam,Qismən razıyam,Qismən razıyam,Əsasən kifayət deyil,Qismən razıyam,Qismən razıyam,4-5 il,Qismən razıyam,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Heç razı deyiləm,Qismən razıyam,Qismən hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Qismən razıyam,Qismən razıyam,Heç razı deyiləm,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Doktorantlar üçün maliyyə dəstəyi",Inustitusional dəstək,Qaydaların aydımlığı 
17.03.2026 11:07:36,Elmi-tədqiqat İnstitutu,Enhanced Oil Recovery Methods,Texnika Elimləri doktoru Professor ,,2,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Vacibdir,Çox vacibdir,Vacibdir,Qismən əhəmiyyətlidir,Vacibdir,Vacibdir,Raziyam,Raziyam,Raziyam,Raziyam,Raziyam,Qismən razıyam,Qismən kifayətdir,Raziyam,Qismən razıyam,3-4 il,Qismən razıyam,Qismən razıyam,Raziyam,Qismən razıyam,Raziyam,Raziyam,Qismən hazıram,"Bəli, əsasən mən",Heç razı deyiləm,Heç razı deyiləm,Heç razı deyiləm,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Doktorantlar üçün maliyyə dəstəyi",Tədqiqatlar üçün lazımı avadanlıqların təmin edilməsi,Doktorantuanın mövcud qaydaları ilə razıyam
17.03.2026 11:09:48,Universitet,Engineering,"kafedra müdiri, 0,5 professor",8,5,Bakı,Individual,Ayda bir dəfə,Qismən aydındır,Vacibdir,Çox vacibdir,Çox vacibdir,Vacibdir,Çox vacibdir,Vacibdir,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən razıyam,Qismən razıyam,Əsasən kifayət deyil,Qismən razıyam,Qismən razıyam,3-4 il,Qismən razıyam,Qismən razıyam,Raziyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Çox hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Qismən razıyam,Raziyam,Qismən razıyam,"Attestasiya və dissertasiya şurası prosedurları, Tədqiqat etikası və akademik dürüstlük prosedurları, Doktorantura tədqiqatında süni intellektin istifadəsi və qaydaların tənzimlənməsi","Elmi rəhbərlərin təlimi, iş yükü və vaxt imkanı, beynəlxalq tədqiqatlarda iştirak imkanı, beynəlxalq təcrübədən rəhbər kimi  yararlanmaq, birgə beynəlxalq rəhbərliklər, maliyə dəstəyi, aktual mövzuların verilməsi və işlənməsi","Doktorantların beynəlxalq tədqiqatlarda iştirak imkanı, beynəlxalq təcrübədən doktorant kimi yararlanmaq imkanı, doktoranta maliyyə dəstəyi, eksperimentlə vaxtında və vaxtından əvvəl müdafiələr zamanı doktorant və rəhbərləri mükafatlandırma, sənədləşmə və müdafiə prosedurlarının sadələşdirilməsi"
