Specialty,Education year,Form,Employement,FinancialSatisfaction,Psixoloji və sosial dəstək xidmətlərinin əlçatanlığını necə qiymətləndirirsiniz?,"Tədqiqat resurslarına və infrastrukturuna çıxış imkanlarınızı 1-dən 10-a qədər qiymətləndirin
",Supervisor_meeting,Quality_supervisor,Clearity_supervisor,supervising_progress,Supervisor_access,Supervisor_satisfaction,Təhsil dövründə iş–şəxsi həyatımda balans mövcuddur
Philology,2,Part time,Teaching,Razı deyiləm,Zəif,8,Həftədə bir dəfə,Qismən razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Biology,3,Full time,Teaching,Qismən razıyam,Orta,7,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Qismən razıyam
Economy,1,Part time,Teaching,Tam razıyam,Yaxşı,5,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Agriculture,2,Part time,Teaching,Tam razıyam,Orta,10,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Philology,1,Part time,Teaching,Tam razıyam,Yaxşı,10,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Economy,2,Full time,No,Qismən razıyam,Yaxşı,8,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Geology,2,Full time,No,Heç razı deyiləm,Çox zəif,7,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Economy,2,Part time,Teaching,Qismən razıyam,Yaxşı,6,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Biology,2,Part time,Teaching,Tam razıyam,Çox zəif,1,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Economy,2,Full time,No,Tam razıyam,Yaxşı,7,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Philology,4,Part time,Teaching,Cavab verməkdə çətinlik çəkirəm,Yaxşı,10,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Philology,1,Part time,Teaching,Razı deyiləm,Orta,5,Həftədə bir dəfə,Tam razıyam,,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
History,1,Full time,Trainer,Heç razı deyiləm,Çox zəif,8,Ayda bir dəfə,Razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Orta,Razı deyiləm,Razı deyiləm
Economy,2,Full time,No,Cavab verməkdə çətinlik çəkirəm,Orta,8,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Tam razıyam
Economy,2,Part time,Yes,Qismən razıyam,Çox zəif,8,Semestrdə bir dəfədən az,Razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Yaxşı,Razı deyiləm,Tam razıyam
Biology,4,Part time,Researcher,Qismən razıyam,Orta,7,Ayda bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Yaxşı,Qismən razıyam,Razı deyiləm
Agriculture,2,Part time,Teaching,Qismən razıyam,Yaxşı,9,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Pedagogy,3,Part time,No,Qismən razıyam,Yaxşı,8,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Philology,5,Part time,No,Tam razıyam,,3,,,,,,,Heç razı deyiləm
Philology,2,Part time,Administrative,Cavab verməkdə çətinlik çəkirəm,Orta,10,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Economy,4,Part time,Teaching,Heç razı deyiləm,Zəif,9,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Orta,Xeyli razıyam,Razı deyiləm
Politology,1,Full time,Bank,Qismən razıyam,Orta,10,Semestrdə bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Orta,Qismən razıyam,Qismən razıyam
Economy,4,Part time,Teaching,Cavab verməkdə çətinlik çəkirəm,Orta,4,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Biology,1,Part time,Teaching,Tam razıyam,Orta,9,Ayda bir dəfə,Qismən razıyam,Tam razıyam,Tam razıyam,Orta,Qismən razıyam,Tam razıyam
Philology,1,Part time,Guide,Qismən razıyam,Orta,5,Ayda bir dəfə,Tam razıyam,Tam razıyam,Qismən razıyam,Yaxşı,Xeyli razıyam,Qismən razıyam
Geology,1,Part time,Researcher,Heç razı deyiləm,Zəif,1,Semestrdə bir dəfədən az,Razı deyiləm,Heç razı deyiləm,Heç razı deyiləm,Orta,Razı deyiləm,Heç razı deyiləm
Sociology,1,Part time,Teaching,Heç razı deyiləm,Çox zəif,8,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Razı deyiləm
Physics,1,Full time,No,Razı deyiləm,Yaxşı,8,Həftədə bir dəfə,Tam razıyam,,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Engineering,3,Part time,Engineer,Razı deyiləm,Zəif,7,Ayda bir dəfə,Qismən razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Mathematics,,Full time,,Heç razı deyiləm,Çox zəif,5,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Geology,2,Full time,No,Cavab verməkdə çətinlik çəkirəm,Orta,9,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Economy,2,Full time,No,Heç razı deyiləm,Orta,5,Ayda bir dəfə,Qismən razıyam,Tam razıyam,Qismən razıyam,Əla,Qismən razıyam,Tam razıyam
Medicine,4,Part time,Administrative,Heç razı deyiləm,Çox zəif,1,Semestrdə bir dəfə,Heç razı deyiləm,Qismən razıyam,Qismən razıyam,Yaxşı,Cavab verməkdə çətinlik çəkirəm,Heç razı deyiləm
Agriculture,3,Part time,Administrative,Razı deyiləm,Orta,8,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Physics,1,Part time,Teaching,,Çox zəif,7,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Qismən razıyam,
Philology,4,Part time,Researcher,Razı deyiləm,Çox zəif,5,Həftədə bir dəfə,Razı deyiləm,Razı deyiləm,Razı deyiləm,Yaxşı,Razı deyiləm,Cavab verməkdə çətinlik çəkirəm
Biology,2,Full time,Researcher,Razı deyiləm,Çox zəif,7,Həftədə bir dəfə,Razı deyiləm,Heç razı deyiləm,Qismən razıyam,Orta,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam
Biology,5,Part time,Administrative,Heç razı deyiləm,Çox zəif,9,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Orta,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Geology,4,Part time,Administrative,Qismən razıyam,Zəif,7,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Physics,2,Full time,Researcher,Heç razı deyiləm,Zəif,8,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Mathematics,2,Part time,Marketing specialist,Qismən razıyam,Orta,9,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Biology,1,Full time,,Heç razı deyiləm,Zəif,4,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Qismən razıyam,Razı deyiləm
Physics,1,Part time,Researcher,Heç razı deyiləm,Zəif,6,Həftədə bir dəfə,Qismən razıyam,Qismən razıyam,Tam razıyam,Əla,Qismən razıyam,Qismən razıyam
Philology,3,Part time,Publisher,Heç razı deyiləm,Çox zəif,5,Semestrdə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Economy,1,Part time,No,Heç razı deyiləm,Çox zəif,7,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Engineering,3,Part time,Engineer,Tam razıyam,Çox zəif,3,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Qismən razıyam,Əla,Qismən razıyam,Tam razıyam
Economy,3,Full time,Researcher,Heç razı deyiləm,Çox zəif,10,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Heç razı deyiləm
Pedagogy,5,Part time,Administrative,Razı deyiləm,Zəif,9,Ayda bir dəfə,,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Tam razıyam
Geology,1,Part time,Researcher,Razı deyiləm,Orta,5,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Qismən razıyam
Philology,1,Part time,Teacher,Heç razı deyiləm,Orta,1,Semestrdə bir dəfədən az,Razı deyiləm,Qismən razıyam,Qismən razıyam,Əla,Qismən razıyam,Qismən razıyam
Economy,1,Full time,No,Qismən razıyam,Yaxşı,9,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Mathematics,1,Full time,Teacher,Heç razı deyiləm,Zəif,5,Ayda bir dəfə,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən razıyam,Yaxşı,Qismən razıyam,Heç razı deyiləm
Economy,3,Full time,No,Cavab verməkdə çətinlik çəkirəm,Zəif,8,Ayda bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Orta,Qismən razıyam,Qismən razıyam
Philology,4,Part time,Researcher,Cavab verməkdə çətinlik çəkirəm,Orta,8,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Engineering,1,Part time,Teacher,Qismən razıyam,Yaxşı,10,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Economy,2,Full time,No,Heç razı deyiləm,Zəif,4,Həftədə bir dəfə,Qismən razıyam,Qismən razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Mechanics,2,Full time,,Heç razı deyiləm,Çox zəif,1,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Heç razı deyiləm
,4,Part time,Researcher,Heç razı deyiləm,Çox zəif,9,Həftədə bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Əla,Xeyli razıyam,Heç razı deyiləm
Mathematics,4,Part time,Teaching,Qismən razıyam,Çox zəif,8,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Qismən razıyam
Engineering,3,Full time,,Qismən razıyam,Orta,8,Ayda bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Orta,Qismən razıyam,Qismən razıyam
Biology,1,Part time,Yes,Razı deyiləm,Zəif,5,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Engineering,2,Part time,Administrative,Razı deyiləm,Yaxşı,9,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Qismən razıyam
Agriculture,1,Part time,Teaching,Razı deyiləm,Orta,10,Semestrdə bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Orta,Qismən razıyam,Qismən razıyam
History,8,Part time,Administrative,Heç razı deyiləm,Çox zəif,1,Semestrdə bir dəfədən az,Heç razı deyiləm,Heç razı deyiləm,Heç razı deyiləm,Orta,Razı deyiləm,Heç razı deyiləm
History,3,Part time,Teaching,Qismən razıyam,Çox zəif,3,Ayda bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Yaxşı,Qismən razıyam,Qismən razıyam
Philology,2,Part time,Teaching,Razı deyiləm,Çox zəif,4,Semestrdə bir dəfə,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Yaxşı,Qismən razıyam,Qismən razıyam
Engineering,3,Full time,Engineer,Razı deyiləm,Zəif,6,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Razı deyiləm
Philology,3,Part time,Researcher,Heç razı deyiləm,Zəif,7,Semestrdə bir dəfədən az,Razı deyiləm,Razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Zəif,Qismən razıyam,Qismən razıyam
Economy,3,Full time,,,,,,,,,,,
Engineering,20,Full time,Teaching,Heç razı deyiləm,Zəif,6,Həftədə bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Yaxşı,Xeyli razıyam,Qismən razıyam
Politology,3,Part time,Civil servant,Razı deyiləm,Orta,5,Ayda bir dəfə,Qismən razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Razı deyiləm
,,,,,,,,,,,,,
Philology,2,Part time,Reseacher,Razı deyiləm,Zəif,7,Ayda bir dəfə,Qismən razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Razı deyiləm
Economy,3,Full time,Reseacher,Razı deyiləm,Orta,5,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Qismən razıyam
Philology,3,Part time,Teaching,Qismən razıyam,Yaxşı,9,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Engineering,3,Full time,Entrepreneurship,Cavab verməkdə çətinlik çəkirəm,Orta,5,Ayda bir dəfə,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Zəif,Cavab verməkdə çətinlik çəkirəm,Razı deyiləm
Agriculture,2,Full time,,Heç razı deyiləm,Çox zəif,6,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Razı deyiləm
Agriculture,1,Full time,,Razı deyiləm,Orta,8,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Engineering,1,Part time,Engineer,Tam razıyam,Yaxşı,10,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Mathematics,3,Part time,Teaching,Qismən razıyam,Zəif,8,Həftədə bir dəfə,Tam razıyam,Qismən razıyam,Qismən razıyam,Yaxşı,Qismən razıyam,Razı deyiləm
Psychology,2,Part time,Teaching,Qismən razıyam,Zəif,7,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Philology,1,Part time,Teaching,Tam razıyam,Orta,8,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Tam razıyam
Economy,2,Full time,,Qismən razıyam,Zəif,7,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Economy,3,Full time,Administrative,Qismən razıyam,Zəif,6,Ayda bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Orta,Qismən razıyam,Qismən razıyam
Engineering,1,Full time,No,Heç razı deyiləm,Zəif,7,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Culturology,3,Part time,Teaching,Cavab verməkdə çətinlik çəkirəm,Çox zəif,8,Semestrdə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Engineering,1,Full time,Engineer,Heç razı deyiləm,Çox zəif,1,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Economy,1,Full time,,Heç razı deyiləm,Çox zəif,10,Semestrdə bir dəfədən az,Razı deyiləm,Razı deyiləm,Razı deyiləm,Yaxşı,Razı deyiləm,Cavab verməkdə çətinlik çəkirəm
Mathematics,1,Full time,,Cavab verməkdə çətinlik çəkirəm,Orta,7,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Economy,1,Full time,,Heç razı deyiləm,Orta,6,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Razı deyiləm
Economy,1,Full time,No,Heç razı deyiləm,Çox zəif,3,Ayda bir dəfə,Razı deyiləm,Qismən razıyam,Qismən razıyam,Orta,Qismən razıyam,Heç razı deyiləm
Philology,1,Full time,Teaching,Razı deyiləm,Yaxşı,9,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Çox zəif,Xeyli razıyam,Qismən razıyam
Geography,1,Part time,Teaching,Razı deyiləm,Çox zəif,1,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Psychology,4,Part time,psychologist,Tam razıyam,Orta,10,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Mathematics,4,Part time,Teaching,Cavab verməkdə çətinlik çəkirəm,Orta,5,Ayda bir dəfə,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Zəif,Qismən razıyam,Tam razıyam
Physics,3,Full time,Teaching,Cavab verməkdə çətinlik çəkirəm,Orta,8,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Psychology,2,Part time,Administrative,Razı deyiləm,Zəif,6,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Geography,3,Part time,Administrative,Heç razı deyiləm,Çox zəif,3,Həftədə bir dəfə,Qismən razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Razı deyiləm
Philosophy,1,Full time,Teaching,Cavab verməkdə çətinlik çəkirəm,Yaxşı,9,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Pedagogy,1,Part time,Teaching,Qismən razıyam,Zəif,10,Ayda bir dəfə,Qismən razıyam,Qismən razıyam,Razı deyiləm,Yaxşı,Qismən razıyam,Qismən razıyam
Biology,,Part time,,Qismən razıyam,Orta,8,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Geology,4,Part time,Engineer,Qismən razıyam,Zəif,5,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Razı deyiləm
Philology,1,Part time,Teaching,Razı deyiləm,Orta,5,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Razı deyiləm
Pedagogy,1,Part time,No,Cavab verməkdə çətinlik çəkirəm,Zəif,,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Economy,1,Full time,No,Heç razı deyiləm,Çox zəif,2,Həftədə bir dəfə,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Zəif,Razı deyiləm,Razı deyiləm
History,1,Part time,Teaching,Heç razı deyiləm,Orta,7,Ayda bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Əla,Qismən razıyam,Tam razıyam
,1,Part time,,,,7,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Economy,1,Part time,Entrepreneur,Razı deyiləm,Zəif,3,Ayda bir dəfə,Razı deyiləm,Razı deyiləm,Razı deyiləm,Zəif,Razı deyiləm,Qismən razıyam
Law,1,Full time,Teaching,Heç razı deyiləm,Zəif,5,Həftədə bir dəfə,Qismən razıyam,Tam razıyam,Tam razıyam,Yaxşı,Qismən razıyam,Tam razıyam
History,4,Part time,Teaching,Heç razı deyiləm,Çox zəif,3,Semestrdə bir dəfədən az,Heç razı deyiləm,Heç razı deyiləm,Heç razı deyiləm,Çox zəif,Razı deyiləm,Razı deyiləm
Psychology,4,Part time,Yes,Cavab verməkdə çətinlik çəkirəm,Çox zəif,5,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Philology,1,Full time,No,Tam razıyam,Yaxşı,8,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
History,4,Part time,No,Qismən razıyam,Orta,9,Ayda bir dəfə,Cavab verməkdə çətinlik çəkirəm,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Qismən razıyam
Law,1,Full time,,Heç razı deyiləm,Zəif,8,Ayda bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Əla,Qismən razıyam,Heç razı deyiləm
Law,2,Part time,Yes,Razı deyiləm,Zəif,4,Ayda bir dəfə,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən razıyam,Orta,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm
Economy,2,Part time,,Cavab verməkdə çətinlik çəkirəm,Əla,10,Semestrdə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Philology,1,Part time,Researcher,Heç razı deyiləm,Çox zəif,7,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Geography,4,Part time,,Heç razı deyiləm,Çox zəif,6,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Engineering,1,Full time,Entrepreneur,,,6,Ayda bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Yaxşı,Qismən razıyam,
Philology,2,Part time,Teaching,Heç razı deyiləm,Zəif,2,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Philology,1,Full time,No,Razı deyiləm,Orta,10,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Economy,4,Part time,Administrative,Razı deyiləm,Çox zəif,8,Semestrdə bir dəfədən az,Qismən razıyam,Qismən razıyam,Qismən razıyam,Yaxşı,Qismən razıyam,Tam razıyam
Pedagogy,2,Full time,Teaching,Qismən razıyam,Çox zəif,10,Semestrdə bir dəfə,Tam razıyam,Qismən razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Mechanics,2,Part time,Teaching,Qismən razıyam,Zəif,5,Ayda bir dəfə,Cavab verməkdə çətinlik çəkirəm,Razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Zəif,Cavab verməkdə çətinlik çəkirəm,Tam razıyam
Economy,2,Full time,Teaching,Heç razı deyiləm,Zəif,10,Semestrdə bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Əla,Xeyli razıyam,Qismən razıyam
Pedagogy,4,Part time,Teaching,Razı deyiləm,Yaxşı,8,Semestrdə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Tam razıyam
